course,relative_path,extension,size_bytes,status,note,detail
Digital Forensic,30강_NetworkForensic(2)_v1.2.pdf,.pdf,642025,pdf_imported,Digital Forensic\PDF\30강_NetworkForensic(2)_v1.2-6be38f5462.md,17/17 pages with text
Digital Forensic,31강_BlockchainForensic(1)_v1.2.pdf,.pdf,725610,pdf_imported,Digital Forensic\PDF\31강_BlockchainForensic(1)_v1.2-4cec1b9da2.md,20/20 pages with text
Digital Forensic,32강_BlockchainForensic(2)_v1.4.pdf,.pdf,535652,pdf_imported,Digital Forensic\PDF\32강_BlockchainForensic(2)_v1.4-19fb29f979.md,17/17 pages with text
Digital Forensic,33강_BlockchainForensic(3)_v1.2.pdf,.pdf,564944,pdf_imported,Digital Forensic\PDF\33강_BlockchainForensic(3)_v1.2-b2096e404e.md,18/18 pages with text
Digital Forensic,34강_BlockchainForensic(4)_v1.2.pdf,.pdf,886751,pdf_imported,Digital Forensic\PDF\34강_BlockchainForensic(4)_v1.2-c6a8117dde.md,28/28 pages with text
Digital Forensic,[Project]Project Topic Report_Project Team 7.pdf,.pdf,131785,pdf_imported,Digital Forensic\PDF\[Project]Project Topic Report_Project Team 7-2f0dc105a6.md,3/3 pages with text
Digital Forensic,forecopy_handy(v1.2).7z,.7z,674254,asset_linked,Digital Forensic\Assets\forecopy_handy(v1.2)-ff59a30e99.md,Linked original asset
Digital Forensic,ForenChain - Backend API Documentation.docx,.docx,6187603,docx_imported,Digital Forensic\DOCX\ForenChain - Backend API Documentation-07e828efdb.md,56 paragraphs
Digital Forensic,ForenChain_ Grand Design & Technical Blueprint.docx,.docx,6190527,docx_imported,Digital Forensic\DOCX\ForenChain_ Grand Design & Technical Blueprint-b76df6ca1d.md,74 paragraphs
Digital Forensic,GPT บทบาท.txt,.txt,519,text_imported,Digital Forensic\Text\GPT บทบาท-e7a19aad89.md,8 lines
Digital Forensic,Line token.txt,.txt,420,text_imported_redacted,Digital Forensic\Text\Line token-32808ee8d7.md,0 lines
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.env,(none),1585,text_imported_redacted,Digital Forensic\Text\env-9de172ccc0.md,0 lines
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\COMMIT_EDITMSG,(none),35,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\config,(none),306,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\description,(none),73,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\HEAD,(none),21,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\hooks\applypatch-msg.sample,.sample,478,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\hooks\commit-msg.sample,.sample,896,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\hooks\fsmonitor-watchman.sample,.sample,4726,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\hooks\post-update.sample,.sample,189,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\hooks\pre-applypatch.sample,.sample,424,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\hooks\pre-commit.sample,.sample,1649,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\hooks\pre-merge-commit.sample,.sample,416,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\hooks\pre-push.sample,.sample,1374,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\hooks\pre-rebase.sample,.sample,4898,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\hooks\pre-receive.sample,.sample,544,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\hooks\prepare-commit-msg.sample,.sample,1492,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\hooks\push-to-checkout.sample,.sample,2783,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\hooks\sendemail-validate.sample,.sample,2308,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\hooks\update.sample,.sample,3650,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\index,(none),1330,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\info\exclude,(none),240,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\logs\HEAD,(none),194,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\logs\refs\heads\main,(none),194,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\logs\refs\remotes\origin\main,(none),156,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\objects\02\b9e943a429b985fa62e417c5a448ac35fa3bce,(none),458,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\objects\04\994f1cf57bf8049101831d9e1637289f687167,(none),473,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\objects\34\0ae043acfc20c303526e24fe3470046030edba,(none),1559,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\objects\53\55ce352d76a4e460e0c246e561f78a8fc6d674,(none),1803,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\.git\objects\55\e2a9c2ef6805a3c9e6b016c5a85edca9c3db03,(none),1772,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
