course,relative_path,extension,size_bytes,status,note,detail
Incident Response,exam\Screenshot 2025-12-10 102216.png,.png,12244,asset_linked,Incident Response\Assets\Screenshot 2025-12-10 102216-053608d41e.md,Linked original asset
Incident Response,exam\Screenshot 2025-12-10 102220.png,.png,33623,asset_linked,Incident Response\Assets\Screenshot 2025-12-10 102220-7095f6fd14.md,Linked original asset
Incident Response,exam\Screenshot 2025-12-10 102225.png,.png,38406,asset_linked,Incident Response\Assets\Screenshot 2025-12-10 102225-660bda6014.md,Linked original asset
Incident Response,exam\Screenshot 2025-12-10 102230.png,.png,44811,asset_linked,Incident Response\Assets\Screenshot 2025-12-10 102230-017a02c7f9.md,Linked original asset
Incident Response,exam\Screenshot 2025-12-10 102234.png,.png,46902,asset_linked,Incident Response\Assets\Screenshot 2025-12-10 102234-701784bda4.md,Linked original asset
Incident Response,exam\Screenshot 2025-12-10 102238.png,.png,27671,asset_linked,Incident Response\Assets\Screenshot 2025-12-10 102238-afe1c8ad57.md,Linked original asset
Incident Response,exam\Screenshot 2025-12-10 102242.png,.png,30239,asset_linked,Incident Response\Assets\Screenshot 2025-12-10 102242-912da7b959.md,Linked original asset
Incident Response,exam\Screenshot 2025-12-10 102247.png,.png,14248,asset_linked,Incident Response\Assets\Screenshot 2025-12-10 102247-ef273b6298.md,Linked original asset
Incident Response,exam\Screenshot 2025-12-10 102254.png,.png,212439,asset_linked,Incident Response\Assets\Screenshot 2025-12-10 102254-0df3cda798.md,Linked original asset
Incident Response,exam\Screenshot 2025-12-10 102259.png,.png,42383,asset_linked,Incident Response\Assets\Screenshot 2025-12-10 102259-0569ed70ff.md,Linked original asset
Incident Response,exam\Screenshot 2025-12-10 102309.png,.png,66655,asset_linked,Incident Response\Assets\Screenshot 2025-12-10 102309-e6fdb0efb5.md,Linked original asset
Incident Response,forecopy_handy(v1.2)\forecopy_handy.exe,.exe,2173440,asset_linked,Incident Response\Assets\forecopy_handy-92a3e04cd7.md,Linked original asset
Incident Response,Lab\Lecture 26 Down drop\downloader.ps1,.ps1,575,text_imported,Incident Response\Text\downloader-6d3748fcb0.md,15 lines
Incident Response,Lab\Lecture 26 Down drop\drop.ps1,.ps1,2268,text_imported,Incident Response\Text\drop-24ce8de391.md,64 lines
Incident Response,Lab\Lecture 36 Practice material\Lecture 36_Practice material.zip,.zip,776992958,asset_linked,Incident Response\Assets\Lecture 36_Practice material-358008b2be.md,Linked original asset
Incident Response,Lab\Lecture 38. Rich analytics\Lecture 38_Pracitce material_Win7-001.7z,.7z,2492805882,asset_linked,Incident Response\Assets\Lecture 38_Pracitce material_Win7-001-7ed78fe85a.md,Linked original asset
Incident Response,Lab\Lecture 44. Documented type malware analysis_Sample file\lab01sample.doc.zip,.zip,111120,asset_linked,Incident Response\Assets\lab01sample.doc-dece762287.md,Linked original asset
Incident Response,Lab\Lecture 46. restore PETYA\Lecture 46_Practice material_win7Il-001.zip,.zip,4279082601,asset_linked,Incident Response\Assets\Lecture 46_Practice material_win7Il-001-f58b3be213.md,Linked original asset
Incident Response,Lab\รหัส VPN.txt,.txt,65,text_imported_redacted,Incident Response\Text\รหัส VPN-5d21a2ca88.md,0 lines
Incident Response,Tool and Result\Accounts&Logon.bat,.bat,540,text_imported,Incident Response\Text\Accounts&Logon-cd45ac6b1c.md,16 lines
Incident Response,Tool and Result\browserdownloadsview-x64\BrowserDownloadsView.chm,.chm,20972,asset_linked,Incident Response\Assets\BrowserDownloadsView-a3af122630.md,Linked original asset
Incident Response,Tool and Result\browserdownloadsview-x64\BrowserDownloadsView.exe,.exe,499712,asset_linked,Incident Response\Assets\BrowserDownloadsView-c23aaf548b.md,Linked original asset
Incident Response,Tool and Result\browserdownloadsview-x64\readme.txt,.txt,18483,text_imported,Incident Response\Text\readme-4b560877de.md,466 lines
Incident Response,Tool and Result\browserdownloadsview-x64.zip,.zip,293736,asset_linked,Incident Response\Assets\browserdownloadsview-x64-91a87082b6.md,Linked original asset
Incident Response,Tool and Result\BrowserDownloadsView.exe,.exe,499712,asset_linked,Incident Response\Assets\BrowserDownloadsView-ca97271028.md,Linked original asset
Incident Response,Tool and Result\browsinghistoryview-x64\BrowsingHistoryView.chm,.chm,22502,asset_linked,Incident Response\Assets\BrowsingHistoryView-2d32ec8dc7.md,Linked original asset
Incident Response,Tool and Result\browsinghistoryview-x64\BrowsingHistoryView.exe,.exe,470528,asset_linked,Incident Response\Assets\BrowsingHistoryView-0bf22821f7.md,Linked original asset
Incident Response,Tool and Result\browsinghistoryview-x64\readme.txt,.txt,29370,text_imported,Incident Response\Text\readme-f859b3da58.md,747 lines
Incident Response,Tool and Result\browsinghistoryview-x64.zip,.zip,480861,asset_linked,Incident Response\Assets\browsinghistoryview-x64-622f1f2f5f.md,Linked original asset
Incident Response,Tool and Result\BrowsingHistoryView.exe,.exe,470528,asset_linked,Incident Response\Assets\BrowsingHistoryView-8d2cc728e1.md,Linked original asset
Incident Response,Tool and Result\Build-non-volatily.bat,.bat,509,text_imported,Incident Response\Text\Build-non-volatily-672674915b.md,16 lines
Incident Response,Tool and Result\network.bat,.bat,511,text_imported,Incident Response\Text\network-d67631ec20.md,21 lines
Incident Response,Tool and Result\powershell.ps1,.ps1,102,text_imported,Incident Response\Text\powershell-9d760b19d6.md,5 lines
Incident Response,Tool and Result\robocopy.bat,.bat,461,text_imported,Incident Response\Text\robocopy-c30ce4c431.md,20 lines
Incident Response,Tool and Result\web\download.csv,.csv,480328,text_imported,Incident Response\Text\download-ffe294eb30.md,815 lines
Incident Response,Tool and Result\web\history.csv,.csv,2015440,large_text_linked,Incident Response\Assets\history-b2fe57e04b.md,"Large text-like file linked, not embedded."
Incident Response,Tool and Result\Web.bat,.bat,377,text_imported,Incident Response\Text\Web-9cbc468c7a.md,16 lines
